state,category,characteristics,total,wrent,noconf,slightconf,modconf,highconf,deferred,didnottenure
US,Household income,"    $150,000 - $199,999","1,830,033","120,651","132,866","58,115","187,508","1,293,434","36,571",889
US,Household income,"    $200,000 and above","1,453,880","12,913","14,590","17,807","124,710","1,272,312","11,548",-
US,Household income,    Did not report,"915,719","39,881","58,691","194,073","149,893","359,263","6,513","107,405"
AL,Total,Total,"993,870","83,043","139,399","329,443","115,067","317,826","9,092",-
AL,Age,    18 - 24,"34,185",-,"21,265",-,"10,203","2,717",-,-
AL,Age,    25 - 39,"507,360","46,378","48,937","251,758","30,440","120,754","9,092",-
AL,Age,    40 - 54,"313,420","4,643","60,239","66,951","52,642","128,945",-,-
AL,Age,    55 - 64,"70,263","5,230","8,959","9,095","21,781","25,199",-,-
AL,Age,    65 and above,"68,643","26,793",-,"1,639",-,"40,211",-,-
AL,Sex,    Male,"331,191","36,125","6,177","181,490","11,048","96,351",-,-
AL,Sex,    Female,"662,679","46,919","133,222","147,953","104,019","221,475","9,092",-
AL,Hispanic origin and Race,    Hispanic or Latino (may be of any race),"110,023","22,568","23,594","44,100","2,717","17,044",-,-
AL,Hispanic origin and Race,"    White alone, not Hispanic","464,319","60,475","30,297","86,610","55,091","231,846",-,-
AL,Hispanic origin and Race,"    Black alone, not Hispanic","349,447",-,"82,955","186,880","49,848","20,671","9,092",-
AL,Hispanic origin and Race,"    Asian alone, not Hispanic","18,527",-,"2,552","10,215",-,"5,759",-,-
AL,Hispanic origin and Race,"    Two or more races + Other races, not Hispanic","51,555",-,-,"1,639","7,410","42,506",-,-
AL,Education,    Less than high school,"98,488","1,825",-,"63,023","2,717","23,821","7,102",-
AL,Education,    High school or GED,"461,089","22,568","99,519","200,113","26,168","112,721",-,-
AL,Education,    Some college/associate’s degree,"292,886","56,227","37,926","38,800","71,442","86,501","1,990",-
AL,Education,    Bachelor’s degree or higher,"141,406","2,422","1,954","27,508","14,739","94,783",-,-
AL,Marital status,    Married,"392,711","28,998","30,673","125,003","44,473","163,564",-,-
AL,Marital status,    Widowed,"33,628",-,-,"12,402",-,"21,226",-,-
AL,Marital status,    Divorced/separated,"191,494","35,983","10,413","15,385","32,916","96,798",-,-
AL,Marital status,    Never married,"376,038","18,062","98,313","176,653","37,678","36,239","9,092",-
AL,Marital status,    Did not report,-,-,-,-,-,-,-,-
AL,Presence of children under 18 years old,    Children in household,"411,575","14,896","116,062","132,719","29,954","108,851","9,092",-
AL,Presence of children under 18 years old,    No children,"582,295","68,147","23,337","196,724","85,112","208,975",-,-
AL,Respondent or household member experienced loss of employment income,    Yes,"603,811","68,566","111,681","289,747","67,588","64,239","1,990",-
AL,Respondent or household member experienced loss of employment income,    No,"390,059","14,477","27,718","39,696","47,478","253,587","7,102",-
AL,Respondent or household member experienced loss of employment income,    Did not report,-,-,-,-,-,-,-,-
AL,Respondent currently employed,    Yes,"256,698","13,335","7,079","25,734","32,103","178,448",-,-
AL,Respondent currently employed,    No,"737,172","69,708","132,320","303,709","82,964","139,378","9,092",-
AL,Respondent currently employed,    Did not report,-,-,-,-,-,-,-,-
AL,Household income,"    Less than $25,000","449,376","54,728","124,422","90,845","58,496","111,793","9,092",-
AL,Household income,"    $25,000 - $34,999","112,376","1,142","2,552","65,644","25,806","17,231",-,-
AL,Household income,"    $35,000 - $49,999","142,554",-,"2,955","54,899","20,828","63,873",-,-
AL,Household income,"    $50,000 - $74,999","213,035","18,062","9,469","116,578","7,263","61,663",-,-
AL,Household income,"    $75,000 - $99,999","32,791",-,-,"1,477","2,675","28,639",-,-
AL,Household income,"    $100,000 - $149,999","17,854",-,-,-,-,"17,854",-,-
AL,Household income,"    $150,000 - $199,999","13,279","2,422",-,-,-,"10,857",-,-
AL,Household income,"    $200,000 and above","2,422",-,-,-,-,"2,422",-,-
AL,Household income,    Did not report,"10,183","6,688",-,-,-,"3,495",-,-
AK,Total,Total,"155,982","5,992","9,344","19,348","52,683","63,673","3,997",945
AK,Age,    18 - 24,"17,071",136,-,"1,160","7,727","5,412","2,635",-
AK,Age,    25 - 39,"76,501","4,179","6,940","12,554","15,653","35,195","1,035",945
AK,Age,    40 - 54,"37,091","1,065","1,218","3,001","14,701","17,106",-,-
AK,Age,    55 - 64,"9,723",300,"1,186","2,633",327,"4,950",327,-
AK,Age,    65 and above,"15,596",312,-,-,"14,274","1,009",-,-
AK,Sex,    Male,"86,325","4,842","5,693","9,350","31,364","35,077",-,-
AK,Sex,    Female,"69,657","1,150","3,651","9,998","21,319","28,596","3,997",945
AK,Hispanic origin and Race,    Hispanic or Latino (may be of any race),"13,339",248,"2,786","1,047","3,754","5,504",-,-
AK,Hispanic origin and Race,"    White alone, not Hispanic","67,847","5,745","3,725","8,918","13,987","32,651","2,821",-
AK,Hispanic origin and Race,"    Black alone, not Hispanic","2,558",-,781,-,510,"1,267",-,-
AK,Hispanic origin and Race,"    Asian alone, not Hispanic","16,663",-,410,-,"14,512","1,740",-,-
AK,Hispanic origin and Race,"    Two or more races + Other races, not Hispanic","55,575",-,"1,641","9,383","19,918","22,511","1,176",945
AK,Education,    Less than high school,"12,465",-,-,-,"4,988","4,392","2,140",945
AK,Education,    High school or GED,"71,102","3,227","4,483","9,839","35,749","17,804",-,-
AK,Education,    Some college/associate’s degree,"46,627","1,735","3,608","8,363","9,398","22,104","1,420",-
AK,Education,    Bachelor’s degree or higher,"25,788","1,030","1,253","1,146","2,548","19,373",438,-
AK,Marital status,    Married,"55,981","1,952","2,555","6,555","22,437","21,987",495,-
AK,Marital status,    Widowed,"2,218",-,167,-,"1,247",804,-,-
AK,Marital status,    Divorced/separated,"16,659",362,"1,776","2,634","2,871","8,914",102,-
AK,Marital status,    Never married,"81,125","3,678","4,847","10,160","26,127","31,968","3,400",945
AK,Marital status,    Did not report,-,-,-,-,-,-,-,-
AK,Presence of children under 18 years old,    Children in household,"48,233","1,420","6,577","9,624","14,723","14,612","1,278",-
AK,Presence of children under 18 years old,    No children,"107,749","4,572","2,767","9,725","37,960","49,061","2,719",945
AK,Respondent or household member experienced loss of employment income,    Yes,"73,978","2,348","8,344","11,319","25,096","23,839","3,033",-
AK,Respondent or household member experienced loss of employment income,    No,"82,004","3,645","1,000","8,030","27,587","39,833",964,945
AK,Respondent or household member experienced loss of employment income,    Did not report,-,-,-,-,-,-,-,-
AK,Respondent currently employed,    Yes,"83,278","3,952","1,368","10,196","27,386","39,836",539,-
AK,Respondent currently employed,    No,"72,704","2,040","7,976","9,152","25,297","23,837","3,457",945
AK,Respondent currently employed,    Did not report,-,-,-,-,-,-,-,-
AK,Household income,"    Less than $25,000","52,358","1,004","5,133","7,998","24,391","11,254","2,577",-
AK,Household income,"    $25,000 - $34,999","25,114",620,"1,656","3,837","11,069","7,503",429,-
AK,Household income,"    $35,000 - $49,999","19,076","1,235",-,"4,488","3,618","9,240",495,-
AK,Household income,"    $50,000 - $74,999","26,648","2,439","2,555","2,012","11,107","8,535",-,-
AK,Household income,"    $75,000 - $99,999","9,712",560,-,507,"1,346","6,804",495,-
AK,Household income,"    $100,000 - $149,999","14,795",-,-,506,905,"13,384",-,-
AK,Household income,"    $150,000 - $199,999","5,681",-,-,-,248,"5,433",-,-
AK,Household income,"    $200,000 and above",135,135,-,-,-,-,-,-
AK,Household income,    Did not report,"2,464",-,-,-,-,"1,519",-,945
AZ,Total,Total,"2,003,059","84,579","187,905","361,668","323,403","1,043,333","1,556",614
AZ,Age,    18 - 24,"146,914",-,"86,495",-,"53,277","7,142",-,-
AZ,Age,    25 - 39,"813,847","52,053","44,927","131,631","145,291","438,389","1,556",-
AZ,Age,    40 - 54,"652,356","3,843","35,635","130,083","67,550","414,631",-,614
AZ,Age,    55 - 64,"131,176",-,"17,163","52,207","31,348","30,458",-,-
AZ,Age,    65 and above,"258,765","28,683","3,686","47,747","25,938","152,712",-,-
AZ,Sex,    Male,"881,880","28,106","54,672","74,784","109,378","614,940",-,-
AZ,Sex,    Female,"1,121,178","56,474","133,233","286,884","214,025","428,393","1,556",614
AZ,Hispanic origin and Race,    Hispanic or Latino (may be of any race),"821,433","50,875","125,263","144,609","103,578","397,108",-,-
AZ,Hispanic origin and Race,"    White alone, not Hispanic","867,221","31,667","62,642","143,129","170,425","457,187","1,556",614
AZ,Hispanic origin and Race,"    Black alone, not Hispanic","118,244","2,038",-,"14,255","16,354","85,597",-,-
AZ,Hispanic origin and Race,"    Asian alone, not Hispanic","30,958",-,-,"11,806","9,204","9,948",-,-
AZ,Hispanic origin and Race,"    Two or more races + Other races, not Hispanic","165,204",-,-,"47,869","23,843","93,492",-,-
AZ,Education,    Less than high school,"145,220",-,"26,527","101,136","14,870","2,688",-,-
AZ,Education,    High school or GED,"885,951","25,445","117,076","135,902","116,227","491,301",-,-
AZ,Education,    Some college/associate’s degree,"636,007","55,897","40,304","98,055","100,679","338,902","1,556",614
AZ,Education,    Bachelor’s degree or higher,"335,881","3,238","3,997","26,576","91,628","210,442",-,-
AZ,Marital status,    Married,"889,286","26,120","54,614","61,689","108,900","637,962",-,-
AZ,Marital status,    Widowed,"83,943","50,875",-,-,"9,382","23,687",-,-
AZ,Marital status,    Divorced/separated,"427,287","4,368","36,408","213,438","88,561","84,511",-,-
AZ,Marital status,    Never married,"602,542","3,217","96,882","86,541","116,560","297,172","1,556",614
AZ,Marital status,    Did not report,-,-,-,-,-,-,-,-
AZ,Presence of children under 18 years old,    Children in household,"648,306","3,217","151,763","101,655","95,129","296,543",-,-
AZ,Presence of children under 18 years old,    No children,"1,354,753","81,363","36,142","260,013","228,274","746,790","1,556",614
AZ,Respondent or household member experienced loss of employment income,    Yes,"1,117,487","54,718","162,439","215,805","173,680","508,675","1,556",614
AZ,Respondent or household member experienced loss of employment income,    No,"885,572","29,861","25,466","145,863","149,723","534,658",-,-
AZ,Respondent or household member experienced loss of employment income,    Did not report,-,-,-,-,-,-,-,-
AZ,Respondent currently employed,    Yes,"1,198,067","2,984","30,821","129,821","198,417","835,410",-,614
AZ,Respondent currently employed,    No,"804,991","81,595","157,084","231,847","124,986","207,923","1,556",-
AZ,Respondent currently employed,    Did not report,-,-,-,-,-,-,-,-
AZ,Household income,"    Less than $25,000","370,073","2,615","74,947","164,249","44,569","82,138","1,556",-
AZ,Household income,"    $25,000 - $34,999","424,470","1,179","92,504","74,945","121,591","134,251",-,-
AZ,Household income,"    $35,000 - $49,999","263,633","76,320","2,538","74,711","26,396","83,668",-,-
AZ,Household income,"    $50,000 - $74,999","278,693","4,466","17,058","25,714","74,745","156,709",-,-
AZ,Household income,"    $75,000 - $99,999","180,932",-,-,"18,811","17,038","145,083",-,-
AZ,Household income,"    $100,000 - $149,999","437,968",-,859,"2,727","26,053","408,329",-,-
AZ,Household income,"    $150,000 - $199,999","26,038",-,-,-,"13,010","13,027",-,-
AZ,Household income,"    $200,000 and above","19,278",-,-,-,-,"19,278",-,-
AZ,Household income,    Did not report,"1,975",-,-,511,-,850,-,614
AR,Total,Total,"620,171","86,234","57,469","51,849","210,092","205,540",482,"8,504"
AR,Age,    18 - 24,"28,071",-,"5,849","3,491","12,882","5,849",-,-
AR,Age,    25 - 39,"297,115","67,005","36,743","28,447","102,457","61,981",482,-
AR,Age,    40 - 54,"187,534","10,785","14,877","9,953","63,303","88,616",-,-
AR,Age,    55 - 64,"50,504","6,377",-,"2,060","15,571","26,496",-,-
AR,Age,    65 and above,"56,947","2,068",-,"7,897","15,879","22,598",-,"8,504"
AR,Sex,    Male,"274,899","68,026","13,959","2,354","75,883","114,679",-,-
AR,Sex,    Female,"345,271","18,209","43,511","49,496","134,209","90,861",482,"8,504"
AR,Hispanic origin and Race,    Hispanic or Latino (may be of any race),"34,010",-,"5,849","2,780","23,095","2,286",-,-
AR,Hispanic origin and Race,"    White alone, not Hispanic","448,507","79,008","35,754","28,521","129,907","166,331",482,"8,504"
AR,Hispanic origin and Race,"    Black alone, not Hispanic","113,184",-,"15,866","15,098","49,274","32,945",-,-
AR,Hispanic origin and Race,"    Asian alone, not Hispanic","9,187","7,227",-,"1,960",-,-,-,-
AR,Hispanic origin and Race,"    Two or more races + Other races, not Hispanic","15,284",-,-,"3,491","7,815","3,977",-,-
AR,Education,    Less than high school,"136,167","57,328",-,"7,604","15,117","56,117",-,-
AR,Education,    High school or GED,"182,105","12,045","32,117","9,636","85,029","34,775",-,"8,504"
AR,Education,    Some college/associate’s degree,"214,883","6,671","24,080","34,316","85,541","63,794",482,-
AR,Education,    Bachelor’s degree or higher,"87,016","10,191","1,273",293,"24,405","50,854",-,-
AR,Marital status,    Married,"182,399","18,779","22,247","6,153","85,416","49,804",-,-
AR,Marital status,    Widowed,"18,042","1,934",-,"2,780","4,825",-,-,"8,504"
AR,Marital status,    Divorced/separated,"136,310","14,570","5,211","18,875","38,059","59,113",482,-
AR,Marital status,    Never married,"282,614","50,951","30,011","24,041","80,986","96,624",-,-
AR,Marital status,    Did not report,806,-,-,-,806,-,-,-
AR,Presence of children under 18 years old,    Children in household,"303,407","72,972","47,589","25,475","107,698","49,191",482,-
AR,Presence of children under 18 years old,    No children,"316,764","13,263","9,880","26,374","102,394","156,349",-,"8,504"
AR,Respondent or household member experienced loss of employment income,    Yes,"324,065","69,667","43,765","22,690","152,196","35,747",-,-
AR,Respondent or household member experienced loss of employment income,    No,"296,106","16,567","13,704","29,160","57,896","169,793",482,"8,504"
AR,Respondent or household member experienced loss of employment income,    Did not report,-,-,-,-,-,-,-,-
AR,Respondent currently employed,    Yes,"238,593","14,499","13,837","18,233","114,390","77,152",482,-
AR,Respondent currently employed,    No,"381,578","71,735","43,632","33,616","95,702","128,388",-,"8,504"
AR,Respondent currently employed,    Did not report,-,-,-,-,-,-,-,-
AR,Household income,"    Less than $25,000","335,734","67,455","38,423","27,674","91,562","110,139",482,-
AR,Household income,"    $25,000 - $34,999","79,066",-,-,"10,846","49,033","19,187",-,-
AR,Household income,"    $35,000 - $49,999","84,893","7,381","2,337","1,633","31,755","41,787",-,-
AR,Household income,"    $50,000 - $74,999","73,997","7,389","16,710","11,696","19,960","18,241",-,-
AR,Household income,"    $75,000 - $99,999","17,992","4,009",-,-,"1,056","12,928",-,-
AR,Household income,"    $100,000 - $149,999","18,099",-,-,-,"14,840","3,259",-,-
AR,Household income,"    $150,000 - $199,999",-,-,-,-,-,-,-,-
AR,Household income,"    $200,000 and above","1,885",-,-,-,"1,885",-,-,-
AR,Household income,    Did not report,"8,504",-,-,-,-,-,-,"8,504"
CA,Total,Total,"12,416,950","333,795","1,887,594","2,155,102","3,070,958","4,880,314","86,227","2,961"
CA,Age,    18 - 24,"837,202",-,"57,798","101,249","491,167","172,350","14,638",-
CA,Age,    25 - 39,"6,001,734","151,993","1,443,611","1,061,000","1,171,090","2,150,256","22,794",989
CA,Age,    40 - 54,"2,676,875","34,122","331,017","638,584","564,646","1,067,999","40,507",-
CA,Age,    55 - 64,"1,954,125","125,638","49,366","344,245","636,114","796,790",-,"1,972"
CA,Age,    65 and above,"947,015","22,042","5,803","10,024","207,940","692,919","8,288",-
CA,Sex,    Male,"5,739,018","241,002","557,555","1,165,919","1,376,363","2,346,593","49,614","1,972"
CA,Sex,    Female,"6,677,932","92,793","1,330,039","989,182","1,694,595","2,533,720","36,614",989
CA,Hispanic origin and Race,    Hispanic or Latino (may be of any race),"5,255,158","146,157","1,053,125","1,065,094","1,418,871","1,544,412","25,528","1,972"
CA,Hispanic origin and Race,"    White alone, not Hispanic","4,133,037","54,304","590,307","488,713","865,695","2,097,327","36,692",-
CA,Hispanic origin and Race,"    Black alone, not Hispanic","1,161,666","116,641","70,159","337,313","361,394","274,352","1,808",-
CA,Hispanic origin and Race,"    Asian alone, not Hispanic","1,477,633","7,418","162,338","156,535","275,376","854,648","20,329",989
CA,Hispanic origin and Race,"    Two or more races + Other races, not Hispanic","389,456","9,275","11,666","107,446","149,622","109,576","1,871",-
CA,Education,    Less than high school,"1,305,410","18,411","360,123","146,794","441,000","339,082",-,-
CA,Education,    High school or GED,"3,749,358","196,918","711,230","801,040","1,043,579","993,056","3,534",-
CA,Education,    Some college/associate’s degree,"4,404,166","93,847","610,790","880,977","1,015,528","1,775,415","25,638","1,972"
CA,Education,    Bachelor’s degree or higher,"2,958,016","24,620","205,451","326,291","570,850","1,772,761","57,056",989
CA,Marital status,    Married,"4,142,969","68,194","538,579","765,705","1,038,499","1,659,194","71,809",989
CA,Marital status,    Widowed,"505,501","1,549","62,051","9,853","17,223","414,825",-,-
CA,Marital status,    Divorced/separated,"1,561,137","55,321","154,635","173,570","431,830","741,097","4,684",-
CA,Marital status,    Never married,"6,089,469","105,226","1,132,329","1,205,973","1,583,406","2,050,829","9,734","1,972"
CA,Marital status,    Did not report,"117,874","103,505",-,-,-,"14,369",-,-
CA,Presence of children under 18 years old,    Children in household,"5,245,859","130,542","1,087,443","697,411","1,775,115","1,535,015","19,344",989
CA,Presence of children under 18 years old,    No children,"7,171,091","203,252","800,152","1,457,690","1,295,843","3,345,298","66,883","1,972"
CA,Respondent or household member experienced loss of employment income,    Yes,"8,257,665","280,608","1,857,244","1,895,039","2,404,844","1,757,795","62,134",-
CA,Respondent or household member experienced loss of employment income,    No,"4,158,583","53,187","29,648","260,062","666,114","3,122,518","24,093","2,961"
CA,Respondent or household member experienced loss of employment income,    Did not report,702,-,702,-,-,-,-,-
CA,Respondent currently employed,    Yes,"6,439,188","44,669","717,298","947,458","1,526,717","3,140,159","60,915","1,972"
CA,Respondent currently employed,    No,"5,977,060","289,126","1,169,594","1,207,643","1,544,241","1,740,155","25,312",989
CA,Respondent currently employed,    Did not report,702,-,702,-,-,-,-,-
CA,Household income,"    Less than $25,000","2,551,149","263,644","474,551","709,162","631,611","463,700","6,509","1,972"
CA,Household income,"    $25,000 - $34,999","1,941,198","19,444","509,306","260,582","497,657","644,050","10,159",-
CA,Household income,"    $35,000 - $49,999","2,653,623","6,608","617,475","340,792","775,480","909,734","3,534",-
CA,Household income,"    $50,000 - $74,999","1,908,792","11,844","177,486","337,655","515,977","859,467","6,365",-
CA,Household income,"    $75,000 - $99,999","1,273,126","16,340","70,914","411,875","228,997","537,645","7,356",-
CA,Household income,"    $100,000 - $149,999","1,019,147","14,482","18,126","32,966","260,047","663,874","29,652",-
CA,Household income,"    $150,000 - $199,999","440,985",-,-,"15,935","58,933","347,971","18,147",-
CA,Household income,"    $200,000 and above","442,370","1,433","14,590",-,"38,657","383,183","4,506",-
CA,Household income,    Did not report,"186,560",-,"5,147","46,137","63,599","70,690",-,989
CO,Total,Total,"1,301,647","69,975","66,893","286,099","340,182","538,497",-,-
CO,Age,    18 - 24,"32,972",-,-,"13,283",-,"19,690",-,-
CO,Age,    25 - 39,"616,538","36,050","51,416","157,544","122,094","249,433",-,-
CO,Age,    40 - 54,"357,116","22,463","7,274","91,929","140,658","94,792",-,-
CO,Age,    55 - 64,"217,014","11,462","8,203","12,315","57,169","127,865",-,-
CO,Age,    65 and above,"78,006",-,-,"11,028","20,261","46,716",-,-
CO,Sex,    Male,"652,119","11,504","14,245","214,010","146,427","265,932",-,-
CO,Sex,    Female,"649,528","58,471","52,649","72,089","193,755","272,564",-,-
CO,Hispanic origin and Race,    Hispanic or Latino (may be of any race),"298,571",-,"31,411","60,852","145,388","60,921",-,-
CO,Hispanic origin and Race,"    White alone, not Hispanic","830,499","50,513","35,482","171,083","165,238","408,183",-,-
CO,Hispanic origin and Race,"    Black alone, not Hispanic","91,864",-,-,"27,596","9,407","54,861",-,-
CO,Hispanic origin and Race,"    Asian alone, not Hispanic","24,010",-,-,"18,823",-,"5,187",-,-
CO,Hispanic origin and Race,"    Two or more races + Other races, not Hispanic","56,701","19,462",-,"7,745","20,149","9,345",-,-
CO,Education,    Less than high school,"130,322","8,563","4,948","100,225",-,"16,587",-,-
CO,Education,    High school or GED,"426,775","12,189","29,531","12,631","214,433","157,991",-,-
CO,Education,    Some college/associate’s degree,"474,557","37,464","16,800","139,455","102,241","178,597",-,-
CO,Education,    Bachelor’s degree or higher,"269,993","11,760","15,615","33,788","23,509","185,322",-,-
CO,Marital status,    Married,"477,432","35,530","45,554","31,146","98,482","266,718",-,-
CO,Marital status,    Widowed,"28,448","1,711",-,"5,244","14,480","7,013",-,-
CO,Marital status,    Divorced/separated,"279,720","11,240","4,581","49,325","144,904","69,668",-,-
CO,Marital status,    Never married,"516,048","21,494","16,757","200,384","82,315","195,098",-,-
CO,Marital status,    Did not report,-,-,-,-,-,-,-,-
CO,Presence of children under 18 years old,    Children in household,"315,941","26,170","15,774","106,386","81,493","86,118",-,-
CO,Presence of children under 18 years old,    No children,"985,706","43,805","51,119","179,713","258,689","452,379",-,-
CO,Respondent or household member experienced loss of employment income,    Yes,"708,177","28,999","53,053","263,666","121,936","240,524",-,-
CO,Respondent or household member experienced loss of employment income,    No,"593,470","40,977","13,840","22,433","218,247","297,972",-,-
CO,Respondent or household member experienced loss of employment income,    Did not report,-,-,-,-,-,-,-,-
CO,Respondent currently employed,    Yes,"847,567","14,378","15,700","234,703","185,638","397,149",-,-
CO,Respondent currently employed,    No,"454,079","55,597","51,194","51,396","154,545","141,348",-,-
CO,Respondent currently employed,    Did not report,-,-,-,-,-,-,-,-
CO,Household income,"    Less than $25,000","331,455","42,892","18,015","95,690","125,906","48,953",-,-
CO,Household income,"    $25,000 - $34,999","132,861","2,031","3,930","33,281","40,432","53,187",-,-
CO,Household income,"    $35,000 - $49,999","223,903","8,563","7,093","29,197","56,843","122,208",-,-
CO,Household income,"    $50,000 - $74,999","237,003","4,730","32,907","28,544","31,163","139,660",-,-
CO,Household income,"    $75,000 - $99,999","100,871","10,849",-,-,"39,083","50,938",-,-
CO,Household income,"    $100,000 - $149,999","191,465",910,-,"96,942","33,148","60,465",-,-
CO,Household income,"    $150,000 - $199,999","31,628",-,-,"2,446","9,987","19,196",-,-
CO,Household income,"    $200,000 and above","38,942",-,-,-,-,"38,942",-,-
CO,Household income,    Did not report,"13,517",-,"4,948",-,"3,621","4,948",-,-
CT,Total,Total,"945,768","73,062","50,010","215,258","273,252","333,399",787,-
CT,Age,    18 - 24,"1,014",-,-,-,"1,014",-,-,-
CT,Age,    25 - 39,"352,451","19,916","36,437","89,364","83,101","123,634",-,-
CT,Age,    40 - 54,"348,862","8,010","11,366","120,906","110,213","98,367",-,-
CT,Age,    55 - 64,"101,558","41,031",-,"3,390","20,402","35,947",787,-
CT,Age,    65 and above,"141,883","4,105","2,207","1,598","58,523","75,451",-,-
CT,Sex,    Male,"327,152","42,247","4,753","41,452","115,043","123,657",-,-
CT,Sex,    Female,"618,616","30,815","45,257","173,806","158,208","209,742",787,-
CT,Hispanic origin and Race,    Hispanic or Latino (may be of any race),"267,625","9,920","5,530","122,505","107,127","22,543",-,-
CT,Hispanic origin and Race,"    White alone, not Hispanic","520,100","60,141","31,061","46,055","123,781","258,275",787,-
CT,Hispanic origin and Race,"    Black alone, not Hispanic","90,997","3,001","4,471","25,312","42,344","15,868",-,-
CT,Hispanic origin and Race,"    Asian alone, not Hispanic","17,087",-,436,-,-,"16,651",-,-
CT,Hispanic origin and Race,"    Two or more races + Other races, not Hispanic","49,959",-,"8,511","21,386",-,"20,061",-,-
CT,Education,    Less than high school,"129,829",-,"2,207","23,045","83,019","21,557",-,-
CT,Education,    High school or GED,"366,855","46,040","7,074","79,292","130,557","103,892",-,-
CT,Education,    Some college/associate’s degree,"251,263","3,001","24,971","108,391","37,518","77,382",-,-
