state,category,characteristics,noconf
AK,Hispanic origin and Race,"Black alone, not Hispanic",189
AK,Hispanic origin and Race,"Asian alone, not Hispanic",117
AK,Hispanic origin and Race,"Two or more races + Other races, not Hispanic","1,984"
AK,Education,Less than high school,"2,156"
AK,Education,High school or GED,"2,350"
AK,Education,Some college/associateês degree,"4,276"
AK,Education,Bachelorês degree or higher,814
AK,Marital status,Married,861
AK,Marital status,Widowed,-
AK,Marital status,Divorced/separated,"4,693"
AK,Marital status,Never married,"4,042"
AK,Marital status,Did not report,-
AK,Presence of children under 18 years old,Children in household,"5,307"
AK,Presence of children under 18 years old,No children,"4,289"
AK,Respondent or household member experienced loss of employment income,Yes,"7,915"
AK,Respondent or household member experienced loss of employment income,No,"1,681"
AK,Respondent or household member experienced loss of employment income,Did not report,-
AK,Respondent currently employed,Yes,"2,405"
AK,Respondent currently employed,No,"7,191"
AK,Respondent currently employed,Did not report,-
AK,Household income,"Less than $25,000","4,997"
AK,Household income,"$25,000 - $34,999","1,997"
AK,Household income,"$35,000 - $49,999","1,475"
AK,Household income,"$50,000 - $74,999",672
AK,Household income,"$75,000 - $99,999",235
AK,Household income,"$100,000 - $149,999",221
AK,Household income,"$150,000 - $199,999",-
AK,Household income,"$200,000 and above",-
AK,Household income,Did not report,-
AZ,Total,Total,"144,833"
AZ,Age,18 - 24,"28,887"
AZ,Age,25 - 39,"71,086"
AZ,Age,40 - 54,"30,471"
AZ,Age,55 - 64,"13,641"
AZ,Age,65 and above,747
AZ,Sex,Male,"53,817"
AZ,Sex,Female,"91,016"
AZ,Hispanic origin and Race,Hispanic or Latino (may be of any race),"50,601"
AZ,Hispanic origin and Race,"White alone, not Hispanic","29,254"
AZ,Hispanic origin and Race,"Black alone, not Hispanic","14,184"
AZ,Hispanic origin and Race,"Asian alone, not Hispanic","4,428"
AZ,Hispanic origin and Race,"Two or more races + Other races, not Hispanic","46,366"
AZ,Education,Less than high school,"9,299"
AZ,Education,High school or GED,"71,788"
AZ,Education,Some college/associateês degree,"50,612"
AZ,Education,Bachelorês degree or higher,"13,134"
AZ,Marital status,Married,"51,040"
AZ,Marital status,Widowed,"3,602"
AZ,Marital status,Divorced/separated,"30,067"
AZ,Marital status,Never married,"60,124"
AZ,Marital status,Did not report,-
AZ,Presence of children under 18 years old,Children in household,"99,255"
AZ,Presence of children under 18 years old,No children,"45,578"
AZ,Respondent or household member experienced loss of employment income,Yes,"132,226"
AZ,Respondent or household member experienced loss of employment income,No,"12,607"
AZ,Respondent or household member experienced loss of employment income,Did not report,-
AZ,Respondent currently employed,Yes,"26,119"
AZ,Respondent currently employed,No,"118,714"
AZ,Respondent currently employed,Did not report,-
AZ,Household income,"Less than $25,000","46,435"
AZ,Household income,"$25,000 - $34,999","21,860"
AZ,Household income,"$35,000 - $49,999","38,090"
AZ,Household income,"$50,000 - $74,999","4,579"
AZ,Household income,"$75,000 - $99,999","31,072"
AZ,Household income,"$100,000 - $149,999","1,622"
AZ,Household income,"$150,000 - $199,999",-
AZ,Household income,"$200,000 and above",-
AZ,Household income,Did not report,"1,174"
AR,Total,Total,"53,590"
AR,Age,18 - 24,-
AR,Age,25 - 39,"45,091"
AR,Age,40 - 54,"8,097"
AR,Age,55 - 64,403
AR,Age,65 and above,-
AR,Sex,Male,"24,366"
AR,Sex,Female,"29,225"
AR,Hispanic origin and Race,Hispanic or Latino (may be of any race),"1,666"
AR,Hispanic origin and Race,"White alone, not Hispanic","36,935"
AR,Hispanic origin and Race,"Black alone, not Hispanic","14,989"
AR,Hispanic origin and Race,"Asian alone, not Hispanic",-
AR,Hispanic origin and Race,"Two or more races + Other races, not Hispanic",-
AR,Education,Less than high school,"13,660"
AR,Education,High school or GED,"11,021"
AR,Education,Some college/associateês degree,"25,287"
AR,Education,Bachelorês degree or higher,"3,622"
AR,Marital status,Married,"16,589"
AR,Marital status,Widowed,-
AR,Marital status,Divorced/separated,"5,582"
AR,Marital status,Never married,"31,419"
AR,Marital status,Did not report,-
AR,Presence of children under 18 years old,Children in household,"47,601"
AR,Presence of children under 18 years old,No children,"5,989"
AR,Respondent or household member experienced loss of employment income,Yes,"48,535"
AR,Respondent or household member experienced loss of employment income,No,"5,055"
AR,Respondent or household member experienced loss of employment income,Did not report,-
AR,Respondent currently employed,Yes,"20,544"
AR,Respondent currently employed,No,"33,046"
AR,Respondent currently employed,Did not report,-
AR,Household income,"Less than $25,000","23,923"
AR,Household income,"$25,000 - $34,999","22,475"
AR,Household income,"$35,000 - $49,999","5,526"
AR,Household income,"$50,000 - $74,999","1,666"
AR,Household income,"$75,000 - $99,999",-
AR,Household income,"$100,000 - $149,999",-
AR,Household income,"$150,000 - $199,999",-
AR,Household income,"$200,000 and above",-
AR,Household income,Did not report,-
CA,Total,Total,"1,275,164"
CA,Age,18 - 24,"23,804"
CA,Age,25 - 39,"580,619"
CA,Age,40 - 54,"367,456"
CA,Age,55 - 64,"161,738"
CA,Age,65 and above,"141,547"
CA,Sex,Male,"592,018"
CA,Sex,Female,"683,146"
CA,Hispanic origin and Race,Hispanic or Latino (may be of any race),"847,753"
CA,Hispanic origin and Race,"White alone, not Hispanic","209,729"
CA,Hispanic origin and Race,"Black alone, not Hispanic","130,389"
CA,Hispanic origin and Race,"Asian alone, not Hispanic","25,354"
CA,Hispanic origin and Race,"Two or more races + Other races, not Hispanic","61,939"
CA,Education,Less than high school,"418,877"
CA,Education,High school or GED,"368,824"
CA,Education,Some college/associateês degree,"368,217"
CA,Education,Bachelorês degree or higher,"119,246"
CA,Marital status,Married,"529,134"
CA,Marital status,Widowed,"24,645"
CA,Marital status,Divorced/separated,"274,627"
CA,Marital status,Never married,"446,758"
CA,Marital status,Did not report,-
CA,Presence of children under 18 years old,Children in household,"705,518"
CA,Presence of children under 18 years old,No children,"569,646"
CA,Respondent or household member experienced loss of employment income,Yes,"1,052,665"
CA,Respondent or household member experienced loss of employment income,No,"222,499"
CA,Respondent or household member experienced loss of employment income,Did not report,-
CA,Respondent currently employed,Yes,"471,136"
CA,Respondent currently employed,No,"804,028"
CA,Respondent currently employed,Did not report,-
CA,Household income,"Less than $25,000","524,953"
CA,Household income,"$25,000 - $34,999","200,157"
CA,Household income,"$35,000 - $49,999","228,036"
CA,Household income,"$50,000 - $74,999","241,467"
CA,Household income,"$75,000 - $99,999","20,618"
CA,Household income,"$100,000 - $149,999","45,075"
CA,Household income,"$150,000 - $199,999","4,065"
CA,Household income,"$200,000 and above","2,477"
CA,Household income,Did not report,"8,316"
CO,Total,Total,"152,994"
CO,Age,18 - 24,"6,445"
CO,Age,25 - 39,"100,249"
CO,Age,40 - 54,"20,886"
CO,Age,55 - 64,"25,414"
CO,Age,65 and above,-
CO,Sex,Male,"67,639"
CO,Sex,Female,"85,356"
CO,Hispanic origin and Race,Hispanic or Latino (may be of any race),"79,940"
CO,Hispanic origin and Race,"White alone, not Hispanic","28,706"
CO,Hispanic origin and Race,"Black alone, not Hispanic","36,368"
CO,Hispanic origin and Race,"Asian alone, not Hispanic","1,262"
CO,Hispanic origin and Race,"Two or more races + Other races, not Hispanic","6,718"
CO,Education,Less than high school,"17,352"
CO,Education,High school or GED,"80,943"
CO,Education,Some college/associateês degree,"42,735"
CO,Education,Bachelorês degree or higher,"11,964"
CO,Marital status,Married,"39,433"
CO,Marital status,Widowed,"1,636"
CO,Marital status,Divorced/separated,"37,419"
CO,Marital status,Never married,"74,507"
CO,Marital status,Did not report,-
CO,Presence of children under 18 years old,Children in household,"101,059"
CO,Presence of children under 18 years old,No children,"51,936"
CO,Respondent or household member experienced loss of employment income,Yes,"140,639"
CO,Respondent or household member experienced loss of employment income,No,"12,356"
CO,Respondent or household member experienced loss of employment income,Did not report,-
CO,Respondent currently employed,Yes,"69,460"
CO,Respondent currently employed,No,"83,534"
CO,Respondent currently employed,Did not report,-
CO,Household income,"Less than $25,000","60,765"
CO,Household income,"$25,000 - $34,999","44,553"
CO,Household income,"$35,000 - $49,999","29,545"
CO,Household income,"$50,000 - $74,999","6,872"
CO,Household income,"$75,000 - $99,999","3,629"
CO,Household income,"$100,000 - $149,999","2,047"
CO,Household income,"$150,000 - $199,999",-
CO,Household income,"$200,000 and above",-
CO,Household income,Did not report,"5,582"
CT,Total,Total,"73,384"
CT,Age,18 - 24,"14,139"
CT,Age,25 - 39,"23,961"
CT,Age,40 - 54,"18,155"
CT,Age,55 - 64,"17,129"
CT,Age,65 and above,-
CT,Sex,Male,"34,047"
CT,Sex,Female,"39,337"
CT,Hispanic origin and Race,Hispanic or Latino (may be of any race),"30,083"
CT,Hispanic origin and Race,"White alone, not Hispanic","10,592"
CT,Hispanic origin and Race,"Black alone, not Hispanic","25,358"
CT,Hispanic origin and Race,"Asian alone, not Hispanic",-
CT,Hispanic origin and Race,"Two or more races + Other races, not Hispanic","7,351"
CT,Education,Less than high school,-
CT,Education,High school or GED,"26,389"
CT,Education,Some college/associateês degree,"42,007"
CT,Education,Bachelorês degree or higher,"4,988"
CT,Marital status,Married,"7,882"
CT,Marital status,Widowed,"3,939"
CT,Marital status,Divorced/separated,"22,694"
CT,Marital status,Never married,"38,869"
CT,Marital status,Did not report,-
CT,Presence of children under 18 years old,Children in household,"45,093"
CT,Presence of children under 18 years old,No children,"28,292"
CT,Respondent or household member experienced loss of employment income,Yes,"56,629"
CT,Respondent or household member experienced loss of employment income,No,"16,755"
CT,Respondent or household member experienced loss of employment income,Did not report,-
CT,Respondent currently employed,Yes,"27,558"
CT,Respondent currently employed,No,"45,826"
CT,Respondent currently employed,Did not report,-
CT,Household income,"Less than $25,000","28,538"
CT,Household income,"$25,000 - $34,999","17,249"
CT,Household income,"$35,000 - $49,999","14,696"
CT,Household income,"$50,000 - $74,999","4,478"
CT,Household income,"$75,000 - $99,999","8,423"
CT,Household income,"$100,000 - $149,999",-
CT,Household income,"$150,000 - $199,999",-
CT,Household income,"$200,000 and above",-
CT,Household income,Did not report,-
DE,Total,Total,"14,874"
DE,Age,18 - 24,"1,134"
DE,Age,25 - 39,"6,785"
DE,Age,40 - 54,"4,383"
DE,Age,55 - 64,"2,571"
DE,Age,65 and above,-
DE,Sex,Male,"3,979"
DE,Sex,Female,"10,895"
DE,Hispanic origin and Race,Hispanic or Latino (may be of any race),"4,010"
DE,Hispanic origin and Race,"White alone, not Hispanic","4,416"
DE,Hispanic origin and Race,"Black alone, not Hispanic","4,881"
DE,Hispanic origin and Race,"Asian alone, not Hispanic","1,567"
DE,Hispanic origin and Race,"Two or more races + Other races, not Hispanic",-
DE,Education,Less than high school,394
DE,Education,High school or GED,"7,056"
DE,Education,Some college/associateês degree,"3,151"
DE,Education,Bachelorês degree or higher,"4,273"
DE,Marital status,Married,"5,142"
DE,Marital status,Widowed,-
DE,Marital status,Divorced/separated,"3,850"
DE,Marital status,Never married,"5,882"
DE,Marital status,Did not report,-
DE,Presence of children under 18 years old,Children in household,"9,232"
DE,Presence of children under 18 years old,No children,"5,642"
DE,Respondent or household member experienced loss of employment income,Yes,"12,595"
DE,Respondent or household member experienced loss of employment income,No,"2,279"
DE,Respondent or household member experienced loss of employment income,Did not report,-
DE,Respondent currently employed,Yes,"5,281"
DE,Respondent currently employed,No,"9,593"
DE,Respondent currently employed,Did not report,-
DE,Household income,"Less than $25,000","7,284"
DE,Household income,"$25,000 - $34,999","1,464"
DE,Household income,"$35,000 - $49,999","3,164"
DE,Household income,"$50,000 - $74,999","1,314"
DE,Household income,"$75,000 - $99,999",-
DE,Household income,"$100,000 - $149,999",-
DE,Household income,"$150,000 - $199,999",463
DE,Household income,"$200,000 and above",-
DE,Household income,Did not report,"1,185"
DC,Total,Total,"26,505"
DC,Age,18 - 24,"4,772"
DC,Age,25 - 39,"14,979"
DC,Age,40 - 54,"3,930"
DC,Age,55 - 64,357
DC,Age,65 and above,"2,466"
DC,Sex,Male,"8,109"
DC,Sex,Female,"18,396"
DC,Hispanic origin and Race,Hispanic or Latino (may be of any race),"3,604"
DC,Hispanic origin and Race,"White alone, not Hispanic",762
DC,Hispanic origin and Race,"Black alone, not Hispanic","18,288"
DC,Hispanic origin and Race,"Asian alone, not Hispanic","3,851"
DC,Hispanic origin and Race,"Two or more races + Other races, not Hispanic",-
DC,Education,Less than high school,828
DC,Education,High school or GED,"11,580"
DC,Education,Some college/associateês degree,"9,116"
DC,Education,Bachelorês degree or higher,"4,981"
DC,Marital status,Married,"5,792"
DC,Marital status,Widowed,319
DC,Marital status,Divorced/separated,"5,767"
DC,Marital status,Never married,"14,627"
DC,Marital status,Did not report,-
DC,Presence of children under 18 years old,Children in household,"12,797"
DC,Presence of children under 18 years old,No children,"13,708"
DC,Respondent or household member experienced loss of employment income,Yes,"22,125"
DC,Respondent or household member experienced loss of employment income,No,"4,379"
DC,Respondent or household member experienced loss of employment income,Did not report,-
DC,Respondent currently employed,Yes,"11,049"
DC,Respondent currently employed,No,"15,456"
DC,Respondent currently employed,Did not report,-
DC,Household income,"Less than $25,000","6,019"
DC,Household income,"$25,000 - $34,999","5,416"
DC,Household income,"$35,000 - $49,999","12,634"
DC,Household income,"$50,000 - $74,999",59
DC,Household income,"$75,000 - $99,999",261
DC,Household income,"$100,000 - $149,999","1,000"
DC,Household income,"$150,000 - $199,999",-
DC,Household income,"$200,000 and above",-
DC,Household income,Did not report,"1,116"
FL,Total,Total,"974,371"
FL,Age,18 - 24,"68,072"
FL,Age,25 - 39,"544,593"
FL,Age,40 - 54,"221,609"
FL,Age,55 - 64,"100,761"
FL,Age,65 and above,"39,336"
FL,Sex,Male,"532,874"
FL,Sex,Female,"441,497"
FL,Hispanic origin and Race,Hispanic or Latino (may be of any race),"403,362"
FL,Hispanic origin and Race,"White alone, not Hispanic","284,956"
FL,Hispanic origin and Race,"Black alone, not Hispanic","254,191"
FL,Hispanic origin and Race,"Asian alone, not Hispanic","9,446"
FL,Hispanic origin and Race,"Two or more races + Other races, not Hispanic","22,417"
FL,Education,Less than high school,"48,056"
FL,Education,High school or GED,"525,112"
FL,Education,Some college/associateês degree,"282,984"
FL,Education,Bachelorês degree or higher,"118,219"
FL,Marital status,Married,"325,306"
FL,Marital status,Widowed,"11,131"
FL,Marital status,Divorced/separated,"190,958"
FL,Marital status,Never married,"446,975"
FL,Marital status,Did not report,-
FL,Presence of children under 18 years old,Children in household,"618,108"
FL,Presence of children under 18 years old,No children,"356,263"
FL,Respondent or household member experienced loss of employment income,Yes,"823,754"
FL,Respondent or household member experienced loss of employment income,No,"150,617"
FL,Respondent or household member experienced loss of employment income,Did not report,-
FL,Respondent currently employed,Yes,"339,046"
FL,Respondent currently employed,No,"635,325"
FL,Respondent currently employed,Did not report,-
FL,Household income,"Less than $25,000","352,370"
FL,Household income,"$25,000 - $34,999","174,468"
FL,Household income,"$35,000 - $49,999","292,462"
FL,Household income,"$50,000 - $74,999","92,189"
FL,Household income,"$75,000 - $99,999","6,118"
FL,Household income,"$100,000 - $149,999","10,401"
FL,Household income,"$150,000 - $199,999","3,466"
FL,Household income,"$200,000 and above",-
FL,Household income,Did not report,"42,897"
GA,Total,Total,"244,325"
GA,Age,18 - 24,"4,739"
GA,Age,25 - 39,"122,420"
GA,Age,40 - 54,"90,600"
GA,Age,55 - 64,"17,911"
GA,Age,65 and above,"8,655"
GA,Sex,Male,"133,607"
GA,Sex,Female,"110,719"
GA,Hispanic origin and Race,Hispanic or Latino (may be of any race),"2,210"
GA,Hispanic origin and Race,"White alone, not Hispanic","69,303"
GA,Hispanic origin and Race,"Black alone, not Hispanic","145,744"
GA,Hispanic origin and Race,"Asian alone, not Hispanic","3,042"
GA,Hispanic origin and Race,"Two or more races + Other races, not Hispanic","24,026"
GA,Education,Less than high school,"27,476"
GA,Education,High school or GED,"94,379"
GA,Education,Some college/associateês degree,"95,280"
GA,Education,Bachelorês degree or higher,"27,190"
GA,Marital status,Married,"93,268"
GA,Marital status,Widowed,-
GA,Marital status,Divorced/separated,"47,623"
GA,Marital status,Never married,"96,891"
GA,Marital status,Did not report,"6,544"
GA,Presence of children under 18 years old,Children in household,"156,329"
GA,Presence of children under 18 years old,No children,"87,996"
GA,Respondent or household member experienced loss of employment income,Yes,"217,676"
GA,Respondent or household member experienced loss of employment income,No,"26,649"
GA,Respondent or household member experienced loss of employment income,Did not report,-
GA,Respondent currently employed,Yes,"97,188"
GA,Respondent currently employed,No,"147,137"
GA,Respondent currently employed,Did not report,-
GA,Household income,"Less than $25,000","68,071"
GA,Household income,"$25,000 - $34,999","27,441"
GA,Household income,"$35,000 - $49,999","11,878"
GA,Household income,"$50,000 - $74,999","105,381"
GA,Household income,"$75,000 - $99,999","23,875"
GA,Household income,"$100,000 - $149,999","1,831"
GA,Household income,"$150,000 - $199,999","5,849"
GA,Household income,"$200,000 and above",-
GA,Household income,Did not report,-
HI,Total,Total,"66,051"
HI,Age,18 - 24,"11,292"
HI,Age,25 - 39,"18,071"
HI,Age,40 - 54,"20,522"
HI,Age,55 - 64,"9,130"
HI,Age,65 and above,"7,036"
HI,Sex,Male,"33,557"
HI,Sex,Female,"32,493"
HI,Hispanic origin and Race,Hispanic or Latino (may be of any race),"6,176"
HI,Hispanic origin and Race,"White alone, not Hispanic","13,836"
HI,Hispanic origin and Race,"Black alone, not Hispanic",-
HI,Hispanic origin and Race,"Asian alone, not Hispanic","30,568"
HI,Hispanic origin and Race,"Two or more races + Other races, not Hispanic","15,470"
HI,Education,Less than high school,"7,527"
HI,Education,High school or GED,"39,945"
HI,Education,Some college/associateês degree,"10,733"
HI,Education,Bachelorês degree or higher,"7,846"
HI,Marital status,Married,"32,305"
HI,Marital status,Widowed,"7,036"
HI,Marital status,Divorced/separated,"6,796"
HI,Marital status,Never married,"19,914"
HI,Marital status,Did not report,-
HI,Presence of children under 18 years old,Children in household,"38,510"
HI,Presence of children under 18 years old,No children,"27,541"
HI,Respondent or household member experienced loss of employment income,Yes,"62,802"
HI,Respondent or household member experienced loss of employment income,No,"3,249"
HI,Respondent or household member experienced loss of employment income,Did not report,-
HI,Respondent currently employed,Yes,"25,723"
HI,Respondent currently employed,No,"40,328"
HI,Respondent currently employed,Did not report,-
HI,Household income,"Less than $25,000","8,251"
HI,Household income,"$25,000 - $34,999","9,732"
HI,Household income,"$35,000 - $49,999","18,676"
HI,Household income,"$50,000 - $74,999","10,936"
HI,Household income,"$75,000 - $99,999","1,975"
HI,Household income,"$100,000 - $149,999","10,204"
HI,Household income,"$150,000 - $199,999",616
HI,Household income,"$200,000 and above",-
HI,Household income,Did not report,"5,661"
ID,Total,Total,"22,942"
ID,Age,18 - 24,-
ID,Age,25 - 39,"5,021"
ID,Age,40 - 54,"17,446"
ID,Age,55 - 64,-
ID,Age,65 and above,475
ID,Sex,Male,"9,894"
ID,Sex,Female,"13,048"
ID,Hispanic origin and Race,Hispanic or Latino (may be of any race),"4,974"
ID,Hispanic origin and Race,"White alone, not Hispanic","17,968"
ID,Hispanic origin and Race,"Black alone, not Hispanic",-
ID,Hispanic origin and Race,"Asian alone, not Hispanic",-
ID,Hispanic origin and Race,"Two or more races + Other races, not Hispanic",-
ID,Education,Less than high school,480
ID,Education,High school or GED,"8,861"
ID,Education,Some college/associateês degree,"12,300"
ID,Education,Bachelorês degree or higher,"1,301"
ID,Marital status,Married,"9,011"
ID,Marital status,Widowed,-
ID,Marital status,Divorced/separated,"9,338"
ID,Marital status,Never married,"4,594"
ID,Marital status,Did not report,-
ID,Presence of children under 18 years old,Children in household,"12,465"
ID,Presence of children under 18 years old,No children,"10,477"
ID,Respondent or household member experienced loss of employment income,Yes,"22,467"
ID,Respondent or household member experienced loss of employment income,No,475
ID,Respondent or household member experienced loss of employment income,Did not report,-
ID,Respondent currently employed,Yes,"9,388"
ID,Respondent currently employed,No,"13,554"
ID,Respondent currently employed,Did not report,-
ID,Household income,"Less than $25,000","11,547"
ID,Household income,"$25,000 - $34,999","6,334"
ID,Household income,"$35,000 - $49,999","1,417"
ID,Household income,"$50,000 - $74,999","2,521"
ID,Household income,"$75,000 - $99,999",-
ID,Household income,"$100,000 - $149,999",777
ID,Household income,"$150,000 - $199,999",347
ID,Household income,"$200,000 and above",-
ID,Household income,Did not report,-
IL,Total,Total,"418,979"
IL,Age,18 - 24,"6,300"
IL,Age,25 - 39,"149,413"
IL,Age,40 - 54,"168,748"
IL,Age,55 - 64,"94,517"
IL,Age,65 and above,-
IL,Sex,Male,"231,351"
IL,Sex,Female,"187,628"
IL,Hispanic origin and Race,Hispanic or Latino (may be of any race),"134,971"
IL,Hispanic origin and Race,"White alone, not Hispanic","115,971"
IL,Hispanic origin and Race,"Black alone, not Hispanic","116,671"
IL,Hispanic origin and Race,"Asian alone, not Hispanic","25,757"
IL,Hispanic origin and Race,"Two or more races + Other races, not Hispanic","25,609"
IL,Education,Less than high school,"70,983"
IL,Education,High school or GED,"162,374"
IL,Education,Some college/associateês degree,"139,698"
IL,Education,Bachelorês degree or higher,"45,923"
IL,Marital status,Married,"126,499"
IL,Marital status,Widowed,"4,751"
IL,Marital status,Divorced/separated,"86,755"
IL,Marital status,Never married,"200,973"
IL,Marital status,Did not report,-
IL,Presence of children under 18 years old,Children in household,"211,613"
IL,Presence of children under 18 years old,No children,"207,366"
IL,Respondent or household member experienced loss of employment income,Yes,"339,277"
IL,Respondent or household member experienced loss of employment income,No,"79,702"
IL,Respondent or household member experienced loss of employment income,Did not report,-
IL,Respondent currently employed,Yes,"183,627"
IL,Respondent currently employed,No,"235,352"
IL,Respondent currently employed,Did not report,-
IL,Household income,"Less than $25,000","117,551"
IL,Household income,"$25,000 - $34,999","138,449"
IL,Household income,"$35,000 - $49,999","90,521"
IL,Household income,"$50,000 - $74,999","67,291"
IL,Household income,"$75,000 - $99,999",-
IL,Household income,"$100,000 - $149,999","3,337"
IL,Household income,"$150,000 - $199,999","1,830"
IL,Household income,"$200,000 and above",-
IL,Household income,Did not report,-
IN,Total,Total,"224,385"
IN,Age,18 - 24,"19,187"
IN,Age,25 - 39,"74,931"
IN,Age,40 - 54,"55,083"
IN,Age,55 - 64,"75,184"
IN,Age,65 and above,-
IN,Sex,Male,"102,345"
IN,Sex,Female,"122,040"
IN,Hispanic origin and Race,Hispanic or Latino (may be of any race),"5,192"
IN,Hispanic origin and Race,"White alone, not Hispanic","149,662"
IN,Hispanic origin and Race,"Black alone, not Hispanic","55,786"
IN,Hispanic origin and Race,"Asian alone, not Hispanic",-
IN,Hispanic origin and Race,"Two or more races + Other races, not Hispanic","13,746"
IN,Education,Less than high school,"27,452"
IN,Education,High school or GED,"149,740"
IN,Education,Some college/associateês degree,"44,462"
IN,Education,Bachelorês degree or higher,"2,731"
IN,Marital status,Married,"43,336"
IN,Marital status,Widowed,"35,360"
IN,Marital status,Divorced/separated,"65,369"
IN,Marital status,Never married,"80,321"
IN,Marital status,Did not report,-
IN,Presence of children under 18 years old,Children in household,"125,210"
IN,Presence of children under 18 years old,No children,"99,176"
IN,Respondent or household member experienced loss of employment income,Yes,"170,286"
IN,Respondent or household member experienced loss of employment income,No,"54,099"
IN,Respondent or household member experienced loss of employment income,Did not report,-
IN,Respondent currently employed,Yes,"70,059"
IN,Respondent currently employed,No,"154,326"
IN,Respondent currently employed,Did not report,-
IN,Household income,"Less than $25,000","179,808"
IN,Household income,"$25,000 - $34,999","7,880"
IN,Household income,"$35,000 - $49,999","21,603"
IN,Household income,"$50,000 - $74,999","15,095"
IN,Household income,"$75,000 - $99,999",-
IN,Household income,"$100,000 - $149,999",-
IN,Household income,"$150,000 - $199,999",-
IN,Household income,"$200,000 and above",-
IN,Household income,Did not report,-
IA,Total,Total,"25,568"
IA,Age,18 - 24,-
IA,Age,25 - 39,"17,281"
IA,Age,40 - 54,"6,014"
IA,Age,55 - 64,"2,273"
IA,Age,65 and above,-
IA,Sex,Male,"10,127"
IA,Sex,Female,"15,441"
IA,Hispanic origin and Race,Hispanic or Latino (may be of any race),-
